orf_id	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	grp_tiny	grp_small	grp_aliphatic	grp_aromatic	grp_polar	grp_nonpolar	grp_charged	grp_turnforming	phys_mw	phys_charge	phys_hydrophobicity	phys_hydro_ratio	phys_amphipathic	phys_boman	phys_ww	phys_aliphatic_idx	phys_gravy	phys_pi	phys_aromaticity	phys_disorder	dp_LL	dp_KK	dp_KL	dp_LK	dp_AA	dp_GG	dp_RR	dp_VV
contig_5_s-_f1_orf66	0.041667	0.0625	0.052083	0.0625	0.052083	0.010417	0.072917	0.072917	0.041667	0.072917	0.052083	0.020833	0.020833	0.041667	0.09375	0.010417	0.020833	0.145833	0.041667	0.010417	0.0625	0.385417	0.333333	0.104167	0.479167	0.510417	0.322917	0.114583	11702.4	9	0.0421	0.4792	0.1124	-0.4659	0.2353	103.33	0.1448	7.47	0.1042	0.2292	0.010526	0.0	0.0	0.0	0.0	0.0	0.0	0.010526
contig_4_s+_f1_orf20	0.114943	0.011494	0.034483	0.091954	0.011494	0.0	0.034483	0.068966	0.091954	0.126437	0.126437	0.034483	0.0	0.022989	0.034483	0.0	0.022989	0.057471	0.091954	0.022989	0.114943	0.275862	0.367816	0.126437	0.37931	0.597701	0.287356	0.068966	10741.5	3	0.1553	0.5977	0.2689	-0.5684	0.1116	104.37	0.1437	7.17	0.1264	0.3218	0.023256	0.011628	0.0	0.0	0.011628	0.0	0.0	0.0
contig_5_s-_f1_orf53	0.1	0.005882	0.088235	0.047059	0.064706	0.011765	0.094118	0.052941	0.088235	0.082353	0.082353	0.017647	0.011765	0.023529	0.064706	0.005882	0.017647	0.094118	0.029412	0.017647	0.117647	0.352941	0.329412	0.111765	0.452941	0.529412	0.382353	0.135294	20541.2	19	0.0072	0.5059	0.3945	-0.3892	0.2628	90.06	-0.1653	7.56	0.1118	0.2882	0.005917	0.0	0.017751	0.005917	0.011834	0.0	0.0	0.011834
contig_1_s-_f1_orf176	0.030303	0.080808	0.060606	0.010101	0.10101	0.040404	0.070707	0.020202	0.080808	0.040404	0.050505	0.020202	0.0	0.040404	0.050505	0.050505	0.030303	0.080808	0.070707	0.070707	0.121212	0.393939	0.171717	0.242424	0.494949	0.434343	0.272727	0.171717	12394.8	13	0.0478	0.3939	0.0857	-0.4309	0.0052	50.1	-0.2424	7.66	0.2424	0.2525	0.0	0.0	0.0	0.020408	0.0	0.0	0.0	0.0
contig_6_s-_f1_orf65	0.049505	0.019802	0.089109	0.059406	0.079208	0.019802	0.039604	0.079208	0.128713	0.029703	0.039604	0.019802	0.039604	0.019802	0.09901	0.009901	0.029703	0.079208	0.049505	0.019802	0.079208	0.356436	0.237624	0.148515	0.514851	0.465347	0.415842	0.178218	12541.1	12	-0.1772	0.4059	0.4135	-0.2299	0.2872	70.4	-0.6653	7.59	0.1485	0.3267	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0
contig_1_s+_f1_orf7	0.102041	0.0	0.020408	0.0	0.061224	0.020408	0.081633	0.040816	0.040816	0.081633	0.122449	0.0	0.020408	0.020408	0.061224	0.020408	0.040816	0.102041	0.102041	0.061224	0.142857	0.326531	0.326531	0.22449	0.285714	0.653061	0.204082	0.081633	6157.2	8	0.2882	0.6122	0.1271	-0.8073	-0.1545	87.55	0.4143	7.82	0.2245	0.2245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_1_s+_f0_orf626	0.047619	0.068027	0.068027	0.040816	0.034014	0.034014	0.047619	0.088435	0.054422	0.068027	0.061224	0.061224	0.081633	0.054422	0.027211	0.013605	0.047619	0.054422	0.027211	0.020408	0.095238	0.47619	0.258503	0.081633	0.482993	0.496599	0.238095	0.258503	17013.0	3	0.0755	0.381	0.2503	-0.3192	0.2312	81.56	-0.1599	7.1	0.0816	0.3265	0.006849	0.0	0.0	0.006849	0.0	0.0	0.0	0.006849
contig_5_s+_f1_orf33	0.111765	0.0	0.076471	0.052941	0.064706	0.011765	0.088235	0.058824	0.082353	0.094118	0.082353	0.011765	0.023529	0.017647	0.064706	0.017647	0.011765	0.047059	0.064706	0.017647	0.141176	0.311765	0.311765	0.147059	0.423529	0.558824	0.364706	0.141176	20902.6	18	0.0378	0.5235	0.4199	-0.4381	0.1725	84.47	-0.2376	7.53	0.1471	0.3176	0.011834	0.0	0.011834	0.005917	0.005917	0.0	0.011834	0.0
contig_4_s+_f2_orf58	0.09434	0.0	0.0	0.075472	0.018868	0.075472	0.075472	0.018868	0.018868	0.09434	0.150943	0.0	0.0	0.0	0.09434	0.018868	0.075472	0.056604	0.113208	0.018868	0.188679	0.320755	0.264151	0.150943	0.358491	0.622642	0.264151	0.09434	6520.4	6	0.1374	0.5472	0.0611	-0.6043	0.0119	70.0	-0.0377	7.57	0.1509	0.283	0.0	0.0	0.0	0.0	0.019231	0.0	0.0	0.0
contig_3_s+_f2_orf416	0.07971	0.043478	0.028986	0.036232	0.043478	0.050725	0.072464	0.072464	0.036232	0.043478	0.050725	0.021739	0.057971	0.057971	0.07971	0.065217	0.043478	0.050725	0.043478	0.021739	0.195652	0.442029	0.246377	0.108696	0.485507	0.492754	0.253623	0.224638	16100.7	17	0.0012	0.3841	0.388	-0.3083	0.1818	67.9	-0.3275	7.62	0.1087	0.3841	0.0	0.0	0.0	0.0	0.007299	0.0	0.0	0.0
contig_6_s-_f1_orf636	0.049383	0.049383	0.024691	0.024691	0.024691	0.049383	0.024691	0.061728	0.08642	0.049383	0.098765	0.074074	0.061728	0.061728	0.024691	0.049383	0.024691	0.049383	0.049383	0.061728	0.148148	0.432099	0.209877	0.135802	0.444444	0.493827	0.185185	0.259259	9595.8	7	0.0527	0.3827	0.1441	-0.3651	0.0915	62.59	-0.3333	7.43	0.1358	0.3827	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0
contig_1_s-_f2_orf298	0.053571	0.059524	0.059524	0.035714	0.059524	0.035714	0.041667	0.047619	0.041667	0.053571	0.047619	0.02381	0.035714	0.059524	0.119048	0.035714	0.041667	0.059524	0.053571	0.035714	0.125	0.404762	0.214286	0.14881	0.517857	0.446429	0.297619	0.190476	20578.8	18	-0.1254	0.375	0.135	-0.2731	0.1664	62.08	-0.5101	7.54	0.1488	0.2976	0.011976	0.0	0.0	0.0	0.0	0.0	0.005988	0.0
contig_4_s-_f0_orf610	0.063218	0.057471	0.04023	0.045977	0.04023	0.022989	0.057471	0.086207	0.074713	0.017241	0.051724	0.063218	0.034483	0.034483	0.063218	0.08046	0.028736	0.068966	0.022989	0.045977	0.166667	0.45977	0.235632	0.109195	0.545977	0.408046	0.281609	0.241379	20471.6	19	-0.0655	0.3506	0.0989	-0.2261	0.2494	66.67	-0.4213	7.55	0.1092	0.3563	0.0	0.00578	0.0	0.011561	0.0	0.0	0.017341	0.00578
contig_5_s+_f0_orf94	0.060976	0.04878	0.02439	0.04878	0.04878	0.085366	0.036585	0.073171	0.04878	0.073171	0.060976	0.0	0.02439	0.036585	0.012195	0.04878	0.085366	0.04878	0.085366	0.04878	0.195122	0.426829	0.256098	0.182927	0.390244	0.560976	0.170732	0.182927	9601.6	2	0.2851	0.4512	0.2507	-0.558	-0.0379	77.32	0.2378	7.12	0.1829	0.3537	0.0	0.0	0.0	0.0	0.0	0.012346	0.0	0.0
contig_1_s-_f0_orf588	0.048544	0.019417	0.058252	0.009709	0.048544	0.048544	0.009709	0.097087	0.048544	0.048544	0.029126	0.029126	0.038835	0.067961	0.097087	0.067961	0.058252	0.058252	0.029126	0.087379	0.165049	0.427184	0.252427	0.165049	0.466019	0.446602	0.223301	0.242718	12316.4	9	-0.0428	0.3592	0.1104	-0.3372	0.076	78.54	-0.3583	7.44	0.165	0.3301	0.0	0.0	0.0	0.0	0.0	0.009804	0.019608	0.0
contig_5_s-_f2_orf86	0.051852	0.014815	0.096296	0.074074	0.059259	0.007407	0.066667	0.02963	0.088889	0.051852	0.074074	0.0	0.007407	0.014815	0.125926	0.044444	0.022222	0.088889	0.059259	0.022222	0.103704	0.333333	0.222222	0.140741	0.548148	0.42963	0.451852	0.155556	17075.0	15	-0.2373	0.4148	0.4522	-0.2253	0.3088	62.74	-0.7822	7.56	0.1407	0.2889	0.007463	0.014925	0.0	0.007463	0.0	0.0	0.007463	0.014925
contig_5_s-_f0_orf30	0.041176	0.029412	0.082353	0.088235	0.076471	0.023529	0.064706	0.041176	0.076471	0.123529	0.070588	0.029412	0.005882	0.017647	0.064706	0.011765	0.023529	0.047059	0.070588	0.011765	0.076471	0.294118	0.252941	0.158824	0.488235	0.5	0.376471	0.152941	21339.9	6	-0.0039	0.4706	0.1471	-0.41	0.1912	82.0	-0.3335	7.18	0.1588	0.2647	0.017751	0.005917	0.011834	0.0	0.0	0.0	0.0	0.005917
contig_6_s+_f0_orf161	0.042105	0.063158	0.073684	0.031579	0.063158	0.063158	0.063158	0.052632	0.042105	0.031579	0.042105	0.042105	0.063158	0.042105	0.052632	0.010526	0.073684	0.084211	0.021053	0.042105	0.115789	0.515789	0.210526	0.126316	0.494737	0.463158	0.263158	0.252632	11050.0	5	0.024	0.3368	0.1215	-0.2616	0.2168	61.47	-0.3253	7.26	0.1263	0.2947	0.0	0.0	0.0	0.0	0.010638	0.0	0.0	0.021277
contig_3_s+_f2_orf429	0.043478	0.043478	0.043478	0.054348	0.0	0.065217	0.065217	0.032609	0.032609	0.054348	0.065217	0.076087	0.032609	0.021739	0.054348	0.076087	0.043478	0.032609	0.086957	0.076087	0.184783	0.456522	0.163043	0.163043	0.51087	0.413043	0.25	0.293478	11132.8	5	-0.041	0.3152	0.1049	-0.2483	0.1102	47.72	-0.8109	7.27	0.163	0.3261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_3_s-_f0_orf41	0.027778	0.055556	0.041667	0.111111	0.069444	0.041667	0.097222	0.055556	0.055556	0.041667	0.083333	0.0	0.013889	0.013889	0.055556	0.0	0.027778	0.083333	0.125	0.0	0.069444	0.291667	0.208333	0.194444	0.458333	0.541667	0.361111	0.097222	9232.4	4	0.1074	0.4861	0.1619	-0.5065	0.1421	64.86	-0.2319	7.28	0.1944	0.2639	0.0	0.028169	0.0	0.0	0.0	0.0	0.0	0.0
contig_6_s+_f1_orf47	0.059829	0.025641	0.034188	0.094017	0.017094	0.017094	0.076923	0.068376	0.08547	0.068376	0.051282	0.017094	0.025641	0.008547	0.102564	0.034188	0.034188	0.094017	0.051282	0.025641	0.111111	0.34188	0.290598	0.094017	0.512821	0.452991	0.393162	0.128205	14281.0	16	-0.1217	0.4103	0.3365	-0.2792	0.3199	86.58	-0.4786	7.68	0.094	0.3248	0.0	0.0	0.008621	0.0	0.0	0.0	0.017241	0.0
contig_6_s+_f1_orf69	0.050505	0.020202	0.070707	0.111111	0.070707	0.0	0.070707	0.020202	0.090909	0.080808	0.111111	0.0	0.020202	0.010101	0.050505	0.040404	0.020202	0.030303	0.111111	0.020202	0.090909	0.252525	0.181818	0.20202	0.484848	0.494949	0.393939	0.131313	12849.5	3	-0.0188	0.4747	0.2667	-0.4006	0.1673	53.23	-0.6091	7.15	0.202	0.3232	0.0	0.0	0.0	0.010204	0.010204	0.0	0.0	0.0
contig_5_s+_f1_orf393	0.02	0.04	0.04	0.04	0.02	0.08	0.04	0.0	0.02	0.08	0.08	0.04	0.06	0.06	0.08	0.04	0.02	0.12	0.06	0.06	0.14	0.46	0.22	0.14	0.42	0.52	0.22	0.26	5985.6	3	0.0188	0.38	0.2142	-0.3916	0.1086	68.0	-0.35	7.3	0.14	0.32	0.020408	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_6_s-_f1_orf550	0.066667	0.044444	0.055556	0.033333	0.033333	0.055556	0.022222	0.066667	0.077778	0.055556	0.066667	0.022222	0.066667	0.022222	0.055556	0.066667	0.066667	0.044444	0.055556	0.022222	0.188889	0.488889	0.233333	0.111111	0.466667	0.511111	0.244444	0.266667	10380.5	6	0.0286	0.3889	0.4458	-0.3203	0.1464	67.22	-0.25	7.33	0.1111	0.3889	0.0	0.0	0.022472	0.0	0.0	0.0	0.0	0.0
contig_5_s-_f1_orf364	0.083333	0.055556	0.027778	0.027778	0.083333	0.027778	0.055556	0.083333	0.083333	0.0	0.027778	0.055556	0.055556	0.055556	0.055556	0.111111	0.0	0.055556	0.0	0.055556	0.222222	0.472222	0.222222	0.138889	0.527778	0.416667	0.25	0.277778	4173.6	5	-0.0497	0.3333	0.1528	-0.1997	0.2192	56.94	-0.4139	7.69	0.1389	0.4444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_6_s-_f2_orf29	0.047904	0.017964	0.077844	0.05988	0.077844	0.005988	0.083832	0.065868	0.107784	0.065868	0.053892	0.011976	0.023952	0.023952	0.113772	0.041916	0.023952	0.02994	0.053892	0.011976	0.095808	0.281437	0.209581	0.143713	0.562874	0.42515	0.443114	0.161677	21158.7	28	-0.2283	0.3952	0.1353	-0.2357	0.2805	64.85	-0.8395	7.84	0.1437	0.3114	0.006024	0.024096	0.006024	0.012048	0.0	0.0	0.018072	0.0
contig_2_s+_f0_orf81	0.102564	0.017094	0.059829	0.076923	0.08547	0.025641	0.042735	0.025641	0.094017	0.051282	0.076923	0.017094	0.008547	0.008547	0.08547	0.008547	0.0	0.08547	0.119658	0.008547	0.136752	0.324786	0.264957	0.213675	0.410256	0.581197	0.358974	0.119658	14845.8	10	0.0068	0.547	0.1167	-0.4419	0.0968	65.04	-0.3239	7.43	0.2137	0.3248	0.0	0.025862	0.0	0.008621	0.0	0.0	0.008621	0.0
contig_6_s+_f0_orf63	0.058824	0.009804	0.058824	0.147059	0.039216	0.019608	0.107843	0.107843	0.058824	0.029412	0.04902	0.029412	0.019608	0.009804	0.078431	0.0	0.029412	0.068627	0.068627	0.009804	0.078431	0.294118	0.264706	0.117647	0.529412	0.460784	0.45098	0.127451	12773.0	4	-0.0829	0.4216	0.1355	-0.2431	0.4014	79.31	-0.701	7.2	0.1176	0.3137	0.0	0.0	0.0	0.009901	0.0	0.0	0.0	0.0
contig_5_s+_f1_orf118	0.088235	0.058824	0.029412	0.058824	0.058824	0.0	0.0	0.088235	0.058824	0.029412	0.058824	0.0	0.117647	0.088235	0.088235	0.0	0.088235	0.058824	0.0	0.029412	0.088235	0.441176	0.264706	0.088235	0.470588	0.5	0.235294	0.147059	3982.6	2	-0.0432	0.3824	0.2512	-0.2388	0.2829	71.76	-0.1941	7.29	0.0882	0.4118	0.0	0.0	0.0	0.0	0.030303	0.0	0.0	0.0
contig_4_s-_f2_orf122	0.068966	0.034483	0.051724	0.025862	0.051724	0.025862	0.025862	0.051724	0.060345	0.068966	0.077586	0.060345	0.077586	0.060345	0.051724	0.034483	0.043103	0.025862	0.034483	0.068966	0.12931	0.422414	0.215517	0.155172	0.448276	0.482759	0.215517	0.25	13912.5	7	-0.0002	0.3793	0.0634	-0.3186	0.1106	61.47	-0.4517	7.3	0.1552	0.3534	0.0	0.008696	0.008696	0.0	0.0	0.0	0.0	0.0
contig_1_s-_f2_orf43	0.055556	0.031746	0.047619	0.047619	0.079365	0.02381	0.071429	0.055556	0.119048	0.071429	0.087302	0.015873	0.007937	0.007937	0.095238	0.007937	0.0	0.095238	0.063492	0.015873	0.087302	0.285714	0.277778	0.15873	0.444444	0.539683	0.380952	0.103175	15866.5	24	-0.0296	0.5079	0.1613	-0.4832	0.1588	82.7	-0.1556	7.95	0.1587	0.2698	0.0	0.024	0.0	0.0	0.0	0.0	0.008	0.008
contig_1_s-_f1_orf368	0.064103	0.051282	0.019231	0.057692	0.032051	0.051282	0.051282	0.038462	0.051282	0.064103	0.070513	0.083333	0.038462	0.064103	0.025641	0.070513	0.038462	0.025641	0.032051	0.070513	0.185897	0.442308	0.192308	0.134615	0.512821	0.416667	0.205128	0.262821	18287.8	8	0.0037	0.3269	0.0934	-0.2312	0.1647	53.85	-0.559	7.26	0.1346	0.3974	0.0	0.0	0.0	0.006452	0.006452	0.006452	0.0	0.0
contig_5_s+_f2_orf27	0.101124	0.0	0.033708	0.067416	0.033708	0.033708	0.044944	0.089888	0.078652	0.033708	0.067416	0.022472	0.011236	0.033708	0.146067	0.011236	0.022472	0.078652	0.05618	0.033708	0.146067	0.314607	0.303371	0.123596	0.460674	0.505618	0.370787	0.11236	11011.4	15	-0.1726	0.4607	0.1468	-0.2946	0.2427	81.12	-0.5416	7.84	0.1236	0.3371	0.0	0.011364	0.0	0.0	0.022727	0.011364	0.0	0.011364
contig_4_s-_f0_orf40	0.022727	0.017045	0.0625	0.079545	0.073864	0.005682	0.090909	0.085227	0.090909	0.068182	0.085227	0.011364	0.022727	0.011364	0.073864	0.028409	0.017045	0.068182	0.068182	0.017045	0.056818	0.255682	0.244318	0.159091	0.482955	0.5	0.397727	0.130682	22478.7	20	-0.0091	0.4716	0.3019	-0.4711	0.2053	81.87	-0.3301	7.57	0.1591	0.2614	0.005714	0.005714	0.017143	0.011429	0.011429	0.0	0.005714	0.0
contig_6_s-_f1_orf452	0.061069	0.045802	0.053435	0.053435	0.068702	0.022901	0.045802	0.030534	0.038168	0.061069	0.099237	0.053435	0.053435	0.030534	0.045802	0.053435	0.038168	0.061069	0.030534	0.053435	0.137405	0.442748	0.21374	0.152672	0.458015	0.48855	0.236641	0.236641	15660.4	3	0.067	0.4122	0.2801	-0.3775	0.144	59.54	-0.1992	7.11	0.1527	0.313	0.007692	0.0	0.0	0.007692	0.0	0.0	0.0	0.015385
contig_6_s+_f1_orf60	0.051852	0.02963	0.059259	0.111111	0.044444	0.022222	0.096296	0.059259	0.074074	0.081481	0.088889	0.022222	0.007407	0.007407	0.066667	0.014815	0.007407	0.088889	0.037037	0.02963	0.088889	0.303704	0.281481	0.111111	0.488889	0.481481	0.407407	0.125926	16649.8	9	-0.0166	0.4519	0.3556	-0.3603	0.3284	85.85	-0.2963	7.33	0.1111	0.2889	0.014925	0.0	0.014925	0.0	0.0	0.0	0.014925	0.007463
contig_4_s+_f2_orf61	0.065934	0.010989	0.065934	0.065934	0.076923	0.021978	0.054945	0.087912	0.120879	0.065934	0.10989	0.032967	0.021978	0.0	0.032967	0.021978	0.043956	0.043956	0.010989	0.032967	0.10989	0.32967	0.263736	0.120879	0.450549	0.505495	0.340659	0.164835	10886.3	7	0.0486	0.4615	0.4969	-0.4003	0.2356	79.34	-0.1165	7.38	0.1209	0.3187	0.011111	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_3_s+_f0_orf6	0.071429	0.047619	0.166667	0.02381	0.02381	0.02381	0.047619	0.0	0.047619	0.119048	0.095238	0.02381	0.02381	0.0	0.071429	0.0	0.02381	0.095238	0.095238	0.0	0.095238	0.47619	0.285714	0.119048	0.452381	0.547619	0.357143	0.238095	5119.7	-1	0.0093	0.5	0.3119	-0.3929	0.1667	81.19	-0.2119	6.88	0.119	0.1905	0.02439	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_1_s+_f2_orf28	0.054422	0.013605	0.054422	0.081633	0.027211	0.006803	0.054422	0.108844	0.068027	0.081633	0.095238	0.013605	0.013605	0.006803	0.115646	0.027211	0.006803	0.068027	0.081633	0.020408	0.088435	0.258503	0.312925	0.129252	0.442177	0.537415	0.37415	0.115646	18662.5	15	-0.0299	0.517	0.5561	-0.5022	0.1804	99.46	-0.1837	7.51	0.1293	0.2585	0.0	0.006849	0.013699	0.0	0.0	0.0	0.006849	0.0
contig_6_s+_f0_orf419	0.066667	0.044444	0.022222	0.088889	0.088889	0.022222	0.133333	0.0	0.022222	0.066667	0.066667	0.066667	0.022222	0.022222	0.066667	0.044444	0.0	0.066667	0.066667	0.022222	0.133333	0.355556	0.2	0.177778	0.511111	0.466667	0.333333	0.177778	5628.2	5	-0.0016	0.4222	0.5077	-0.3453	0.1971	52.0	-0.5422	7.56	0.1778	0.2889	0.0	0.0	0.022727	0.0	0.0	0.0	0.022727	0.0
contig_2_s+_f2_orf2	0.08284	0.023669	0.094675	0.08284	0.047337	0.023669	0.071006	0.088757	0.071006	0.088757	0.071006	0.017751	0.023669	0.005917	0.059172	0.017751	0.005917	0.053254	0.059172	0.011834	0.12426	0.343195	0.313609	0.118343	0.449704	0.538462	0.378698	0.177515	20495.9	4	0.0458	0.4911	0.1191	-0.3945	0.2509	92.96	-0.1728	7.12	0.1183	0.3077	0.0	0.0	0.005952	0.005952	0.0	0.0	0.0	0.0
contig_5_s+_f1_orf484	0.066667	0.038095	0.038095	0.057143	0.019048	0.028571	0.028571	0.028571	0.07619	0.07619	0.085714	0.085714	0.038095	0.057143	0.104762	0.0	0.047619	0.047619	0.057143	0.019048	0.095238	0.390476	0.219048	0.095238	0.533333	0.447619	0.304762	0.190476	12837.4	12	-0.2141	0.381	0.3169	-0.1771	0.2507	61.33	-0.8257	7.57	0.0952	0.3238	0.009615	0.0	0.0	0.0	0.0	0.0	0.009615	0.0
contig_3_s-_f1_orf580	0.02	0.04	0.05	0.04	0.11	0.04	0.06	0.09	0.06	0.06	0.04	0.08	0.03	0.02	0.03	0.05	0.03	0.03	0.07	0.05	0.11	0.37	0.2	0.23	0.46	0.49	0.24	0.25	12409.6	6	0.1388	0.42	0.3305	-0.502	-0.003	69.2	-0.2	7.3	0.23	0.26	0.010101	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_5_s+_f1_orf74	0.075758	0.0	0.060606	0.075758	0.030303	0.015152	0.030303	0.075758	0.045455	0.090909	0.090909	0.0	0.030303	0.015152	0.121212	0.0	0.060606	0.090909	0.060606	0.030303	0.090909	0.333333	0.333333	0.121212	0.409091	0.560606	0.333333	0.106061	8163.3	4	-0.0053	0.5152	0.2732	-0.475	0.18	98.94	-0.0788	7.3	0.1212	0.2576	0.030769	0.0	0.0	0.0	0.0	0.0	0.015385	0.0
